a,dureeFeu,ecarts
1.5,25.0,42.650320360059695
1.5,25.25,48.97996257363262
1.5,25.5,54.85126205963272
1.5,25.75,61.09687535038306
1.5,26.0,66.90303017928647
1.5,26.25,72.87269562727684
1.5,26.5,80.05903164565898
1.5,26.75,65.60775509248535
1.5,27.0,56.54810539124142
1.5,27.25,52.93009633884185
1.5,27.5,43.418078718085425
1.5,27.75,26.06343988510784
1.5,28.0,28.595560551408376
1.5,28.25,30.850329317624627
1.5,28.5,32.57408614448341
1.5,28.75,34.424849804593464
1.5,29.0,36.41149357931424
1.5,29.25,38.901701732262666
1.5,29.5,41.179682563123166
1.5,29.75,44.25928052835371
1.55,25.0,41.85239033069425
1.55,25.25,48.105441477917566
1.55,25.5,54.24477907397633
1.55,25.75,60.375159610487714
1.55,26.0,66.27829614060845
1.55,26.25,72.74725504776946
1.55,26.5,65.69963496419223
1.55,26.75,51.30605032285814
1.55,27.0,48.27651578689115
1.55,27.25,39.43745836482381
1.55,27.5,22.97799520536601
1.55,27.75,25.71149299416384
1.55,28.0,28.201428693603155
1.55,28.25,30.557258066182108
1.55,28.5,32.322616177031705
1.55,28.75,34.16853881154154
1.55,29.0,36.275016298908504
1.55,29.25,38.64219381630088
1.55,29.5,40.579093138831624
1.55,29.75,43.57399863482826
1.6,25.0,41.00694875031049
1.6,25.25,47.260133345245215
1.6,25.5,53.88492272239423
1.6,25.75,59.70523636774354
1.6,26.0,65.82851000274024
1.6,26.25,72.04544939278563
1.6,26.5,55.81536120037988
1.6,26.75,43.69922949503627
1.6,27.0,35.34605624938627
1.6,27.25,19.817336917856633
1.6,27.5,22.598760617140726
1.6,27.75,25.4517751338572
1.6,28.0,27.904847335545522
1.6,28.25,30.24892577956507
1.6,28.5,32.139952548779924
1.6,28.75,33.843977752529966
1.6,29.0,35.872277749846766
1.6,29.25,38.243975884503485
1.6,29.5,40.81121055884341
1.6,29.75,43.08255300953044
1.65,25.0,40.21076390430919
1.65,25.25,46.48649060964031
1.65,25.5,53.08030542064546
1.65,25.75,59.26698314956501
1.65,26.0,65.23282859659074
1.65,26.25,52.45934851017486
1.65,26.5,38.933246206813
1.65,26.75,30.886574337969684
1.65,27.0,16.49330397369458
1.65,27.25,19.600102226403745
1.65,27.5,22.308760649479133
1.65,27.75,25.13452387000689
1.65,28.0,27.63313032154205
1.65,28.25,29.925985968813166
1.65,28.5,31.969910966615124
1.65,28.75,33.58067907350674
1.65,29.0,35.47780242961049
1.65,29.25,37.795146852620235
1.65,29.5,40.65372167095308
1.65,29.75,42.80316107130233
1.7,25.0,39.49228842221673
1.7,25.25,45.77587420970916
1.7,25.5,52.30516631438535
1.7,25.75,58.65164770181125
1.7,26.0,46.15311344568394
1.7,26.25,36.76397505292583
1.7,26.5,26.36356488696142
1.7,26.75,13.080485391073726
1.7,27.0,16.175224906128076
1.7,27.25,19.353673071992816
1.7,27.5,22.054405750238956
1.7,27.75,24.793656701927876
1.7,28.0,27.38459251163672
1.7,28.25,29.63418798429887
1.7,28.5,31.724790197893487
1.7,28.75,33.388123711455194
1.7,29.0,35.18194012016815
1.7,29.25,37.47016578432578
1.7,29.5,40.189907239729706
1.7,29.75,42.01759002141423
1.75,25.0,38.86597665627144
1.75,25.25,45.059609626897476
1.75,25.5,51.42438550924035
1.75,25.75,45.19953632212483
1.75,26.0,31.104915531019998
1.75,26.25,36.69936236568438
1.75,26.5,9.669977661181594
1.75,26.75,12.809094974984188
1.75,27.0,15.887123988369613
1.75,27.25,19.05099058621128
1.75,27.5,21.83945138119761
1.75,27.75,24.500114203655038
1.75,28.0,27.17322126871176
1.75,28.25,29.38076555563972
1.75,28.5,31.466915813457295
1.75,28.75,33.267542298515906
1.75,29.0,34.99893733351943
1.75,29.25,37.26839284665573
1.75,29.5,38.66434528535261
1.75,29.75,26.485886325152563
1.8,25.0,38.34609823846928
1.8,25.25,44.27963774673265
1.8,25.5,50.3951070973838
1.8,25.75,39.33553334729121
1.8,26.0,30.822047932353513
1.8,26.25,16.52707900625146
1.8,26.5,9.425226400892436
1.8,26.75,12.526999663438424
1.8,27.0,15.624491646842698
1.8,27.25,18.77232273600623
1.8,27.5,21.659595151499953
1.8,28.0,26.92154408813724
1.8,28.25,29.161000420297903
1.8,28.5,31.21408289482889
1.8,28.75,33.21710981625694
1.8,29.0,34.9912657178303
1.8,29.25,36.14815234668796
1.8,29.5,23.89824775564354
1.8,29.75,25.33003336976573
1.85,25.0,37.848172430224295
1.85,25.25,43.25961004684471
1.85,25.5,32.53331084830385
1.85,25.75,25.446705570282596
1.85,26.0,30.729539814273156
1.85,26.25,6.447117474745613
1.85,26.5,9.219083004841231
1.85,26.75,12.273287468636807
1.85,27.0,15.39240167754076
1.85,27.25,18.517467330151227
1.85,27.5,21.51334599083292
1.85,27.75,24.06278970947555
1.85,28.0,26.664390788215098
1.85,28.25,28.983757184590253
1.85,28.5,30.99496197542581
1.85,28.75,33.07720882856714
1.85,29.0,34.45883880474905
1.85,29.25,21.769132702221295
1.85,29.5,23.00572557335891
1.85,29.75,12.195620704718054
1.9,25.0,37.07516112177733
1.9,25.25,31.26702265878057
1.9,25.5,31.702327459851944
1.9,25.75,25.042663039343875
1.9,26.0,13.556554231613946
1.9,26.25,6.267670307976326
1.9,26.5,9.043261997915856
1.9,26.75,12.051968883383168
1.9,27.0,15.18818759508288
1.9,27.25,18.276073330147558
1.9,27.5,21.346363653755738
1.9,27.75,23.898349221732634
1.9,28.0,26.451028652835635
1.9,28.25,28.83789142909351
1.9,28.5,30.820590081668442
1.9,28.75,32.66112127620612
1.9,29.0,25.746983046763916
1.9,29.25,21.235581589029767
1.9,29.5,16.882771521952574
1.9,29.75,6.990976470727929
1.95,25.0,35.62269041561314
1.95,25.25,25.616477992469967
1.95,25.5,19.90840536454217
1.95,25.75,9.438512623599465
1.95,26.0,3.7491665287358673
1.95,26.25,6.116657214314866
1.95,26.5,8.89747986387701
1.95,26.75,11.86546081546657
1.95,27.0,15.014032029396077
1.95,27.25,18.066301136243375
1.95,27.5,21.187739752836663
1.95,27.75,23.78710486412131
1.95,28.0,26.276719090199222
1.95,28.25,28.724766852746363
1.95,28.5,30.448885284692356
1.95,28.75,23.125372517553085
1.95,29.0,19.496909058565674
1.95,29.25,20.727566894601154
1.95,29.5,5.451480184812549
1.95,29.75,6.898047960357164
2.0,25.0,20.808900469657306
2.0,25.25,25.017723453718276
2.0,25.5,19.544600830525393
2.0,25.75,9.178879654602248
2.0,26.0,3.6557055348948655
2.0,26.25,5.9758145656453525
2.0,26.5,8.749462712813777
2.0,26.75,11.680821593873771
