a,dureeFeu,ecarts
1.5,20.0,328.2008788359586
1.5,20.2,344.6422244809766
1.5,20.4,363.24782924977876
1.5,20.6,382.5539248786189
1.5,20.8,371.3726340338528
1.5,21.0,391.44523246064875
1.5,21.2,406.7728524331078
1.5,21.4,420.8181570614596
1.5,21.6,430.750505975566
1.5,21.8,443.76152416243497
1.5,22.0,458.04555058134446
1.5,22.2,472.93288678722115
1.5,22.4,489.5685270671407
1.5,22.6,507.4772167069641
1.5,22.8,471.4482362498857
1.5,23.0,454.6202221722813
1.5,23.2,413.64103145878414
1.5,23.4,427.22707509430273
1.5,23.6,408.75836769408954
1.5,23.8,281.71979966470445
1.5,24.0,294.80628042969784
1.5,24.2,310.06466753692945
1.5,24.4,328.03890981758076
1.5,24.6,347.05309221635747
1.5,24.8,366.0466088269259
1.5,25.0,382.48883226548094
1.5,25.2,397.36537696781807
1.5,25.4,410.0278994334809
1.5,25.6,421.6254140874995
1.5,25.8,430.77931782681884
1.5,26.0,439.17321852139514
1.5,26.2,451.64739379175006
1.5,26.4,465.4226655948264
1.5,26.6,484.21945938815014
1.5,26.8,433.8252331174338
1.5,27.0,401.8750513306476
1.5,27.2,376.1543996936109
1.5,27.4,390.182779595374
1.5,27.6,356.5667336443595
1.5,27.8,278.23472534535415
1.5,28.0,291.96198004389635
1.5,28.200000000000003,304.996408030054
1.5,28.4,315.4802336280394
1.5,28.6,326.4265526761516
1.5,28.8,336.4014060014511
1.5,29.0,347.5467628902654
1.5,29.200000000000003,358.85154183248983
1.5,29.4,370.9729484436597
1.5,29.6,384.7198402267759
1.5,29.8,399.53058846276804
1.5,30.0,416.3077033685097
1.5,30.200000000000003,432.5183664452936
1.5,30.4,450.8359873839967
1.5,30.6,466.8098315729746
1.5,30.8,464.70688237482074
1.5,31.0,445.78204966781
1.5,31.200000000000003,425.2266926278407
1.5,31.4,400.2121764571812
1.5,31.6,363.63687185051907
1.5,31.8,310.4174641590528
1.5,32.0,319.9384183160127
1.5,32.2,330.19273087574135
1.5,32.4,339.1344165360497
1.5,32.6,349.5057729458092
1.5,32.8,361.57758061894
